1 1005 ул. Александра Блока, д. 3, литера А
214 1090 Конногвардейский бульв., д. 5, литера А (лицевые фасады)
215 1092 Почтамтская ул., д. 3-5, литера А (лицевой фасад)
216 1092 Почтамтский пер., д. 2, литера А
217 1092 ул. Якубовича, д. 8, литера А
218 1094 Вознесенский пр., д. 4, литера А
219 1145 Спасский пер., д. 14/35, литера А
220 1146 пер. Гривцова, д. 18, литера А
221 1146 пер. Гривцова, д. 20, литера В
222 1146 пер. Гривцова, д. 22, литера А
223 1146 пер. Гривцова, д. 26, литера А
224 1146 Спасский пер., д. 11/1, литера А (часть здания)
225 1148 наб. кан. Грибоедова, д. 56-58, литера А (часть здания)
226 1148 Садовая ул., д. 43, литера А
227 1149 Вознесенский пр., д. 34, литера Г
228 1149 Вознесенский пр., д. 34, литера Н
229 1149 наб. кан. Грибоедова, д. 74, литера А
230 1149 наб. кан. Грибоедова, д. 72, литера А
231 1150 Садовая ул., д. 53, литера А
232 1151 Б. Подьяческая ул., д. 22, литера А
233 1152 Б. Подьяческая ул., д. 21 литера А
234 1152 Б. Подьяческая ул., д. 23, литера А
235 1152 Б. Подьяческая ул., д. 25, литера А
236 1152 Садовая ул., д. 65, литера А
237 1154 Лермонтовский пр., д. 12, литера А
238 1154 Лермонтовский пр., д. 14, литера Б
239 1154 Садовая ул., д. 69, литера А
240 1154 Садовая ул., д. 73, строение 1 (часть здания)
241 1155 Английский пр., д. 52, литера А
242 1155 ул. Лабутина, д. 13, литера А
243 1155 ул. Лабутина, д. 15, литера А
244 1155 ул. Лабутина, д. 17, литера А
245 1155 ул. Лабутина, д. 3, литера Г
246 1155 ул. Лабутина, д. 7, литера А
247 1155 Лермонтовский пр., д. 21, литера А
248 1155 Лермонтовский пр., д. 23, литера Б
249 1155 Садовая ул., д. 76, литера А
250 1155 Садовая ул., д. 78, литера А
251 1155 Садовая ул., д. 80, литера А
252 1155 Садовая ул., д. 84, литера А
253 1155 Садовая ул., д. 86, литера А
254 1155 Садовая ул., д. 88, литера А
255 1155 Садовая ул., д. 90, литера А
256 1155 Садовая ул., д. 92, литера А
257 1155 Садовая ул., д. 96, литера А
258 1156 Канонерская ул., д. 14, литера А
259 1156 Канонерская ул., д. 4, литера А
260 1156 Канонерская ул., д. 4, литера Б
261 1156 Лермонтовский пр., д. 17, литера А
262 1156 Садовая ул., д. 77, литера А
263 1156 Садовая ул., д. 81, литера А
264 1156 Садовая ул., д. 83, литера А
265 1156 Садовая ул., д. 83, литера Б
266 1156 Садовая ул., д. 85, литера А
267 1156 Садовая ул., д. 87, литера А
268 1156 Садовая ул., д. 97, литера А
269 1156 Садовая ул., д. 99, литера А
270 1156 Садовая ул., д. 99, литера Б
271 1157 Английский пр., д. 44, литера А
272 1157 Английский пр., д. 46, литера А
273 1157 наб. кан. Грибоедова, д. 142, литера А
274 1157 наб. кан. Грибоедова, д. 142, литера Б
275 1157 наб. кан. Грибоедова, д. 152, литера А
276 1157 Канонерская ул., д. 17, литера А
277 1157 Канонерская ул., д. 25, литера А
278 1157 ул. Пасторова, д. 5, литера А
279 1157 ул. Пасторова, д. 7, литера А (часть здания)
280 1158 Английский пр., д. 40, литера А
281 1158 ул. Союза Печатников, д. 24, литера В
282 1158 ул. Союза Печатников, д. 26, литера А
283 1159 Английский пр., д. 31, литера Б
284 1159 Дровяной пер., д. 20, литера А
285 1159 Дровяной пер., д. 22, литера А
286 1159 пр. Римского-Корсакова, д. 73/33, строение 1
287 1159 пр. Римского-Корсакова, д. 73/33, строение 2
288 1159 пр. Римского-Корсакова, д. 75, литера А
289 1159 ул. Союза Печатников, д. 30, литера А
290 1159 ул. Союза Печатников, д. 30, литера Б
291 1161 Дровяной пер., д. 7, литера А
292 1161 Псковская ул., д. 6, литера А
293 1161 Псковская ул., д. 8, литера А
294 1161 пр. Римского-Корсакова, д. 83-85, литера А
295 1161 пр. Римского-Корсакова, д. 79, литера А
296 1161 пр. Римского-Корсакова, д. 81, литера А
297 1162 ул. Володи Ермака, д. 19, литера А
298 1162 Псковская ул., д. 10-12, литера А (часть здания)
299 1162 Псковская ул., д. 16, литера А
300 1162 Псковская ул., д. 20, литера А
301 1162 пр. Римского-Корсакова, д. 103, литера А
302 1162 пр. Римского-Корсакова, д. 87/21, литера А
303 1162 пр. Римского-Корсакова, д. 89-91, литера В
304 1162 пр. Римского-Корсакова, д. 93, литера А
305 1162 пр. Римского-Корсакова, д. 95, литера А
306 1162 пр. Римского-Корсакова, д. 97, литера А (часть здания)
307 1162 пр. Римского-Корсакова, д. 99, литера А
308 1163 Витебская ул., д. 10, литера А
309 1163 Витебская ул., д. 12, литера А
310 1163 Витебская ул., д. 14, литера А
311 1163 Витебская ул., д. 2/7, литера А
312 1163 Витебская ул., д. 2/7, литера Б
313 1163 Витебская ул., д. 4, литера А
314 1163 ул. Володи Ермака, д. 9-11, литера А
315 1163 Мясная ул., д. 20, литера А
316 1163 Псковская ул., д. 1/13, литера А
317 1163 Псковская ул., д. 11, литера А
318 1163 Псковская ул., д. 3, литера А
319 1163 Псковская ул., д. 7, литера А
320 1164 Витебская ул., д. 7, литера А
321 1164 Витебская ул., д. 9, литера А
322 1164 Мясная ул., д. 10, литера А
323 1164 наб. р. Пряжки, д. 36, литера А
324 1164 наб. р. Пряжки, д. 38, литера А
325 1164 наб. р. Пряжки, д. 38, литера Б
326 1164 наб. р. Пряжки, д. 46, литера А
327 1164 наб. р. Пряжки, д. 48, литера А (часть здания)
328 1165 Витебская ул., д. 5/6, литера А
329 1165 Витебская ул., д. 3, литера А
330 1165 Дровяной пер., д. 3, литера А
331 1165 Дровяной пер., д. 5, литера А
332 1165 наб. р. Пряжки, д. 34, литера А
333 1166 Английский пр., д. 21/60, литера А
334 1166 Английский пр., д. 21/60, литера Б
335 1166 Дровяной пер., д. 12, литера А
336 1166 Дровяной пер., д. 14, литера А
337 1166 Дровяной пер., д. 14, литера Б
338 1166 Дровяной пер., д. 8, литера А
339 1167 ул. Декабристов, д. 56, литера А
340 1167 ул. Декабристов, д. 58, литера А
341 1167 Мастерская ул., д. 3, литера А
342 1167 Мастерская ул., д. 5, литера А
343 1168 ул. Декабристов, д. 46, литера А
344 1168 ул. Декабристов, д. 52, литера А
345 1168 Лермонтовский пр., д. 3, литера А
346 1168 Лермонтовский пр., д. 3, литера В
347 1168 Лермонтовский пр., д. 5/11, литера А
348 1168 Мастерская ул., д. 4, литера А
349 1168 ул. Союза Печатников, д. 13-15, литера А
350 1168 ул. Союза Печатников, д. 19, литера А
351 1168 ул. Союза Печатников, д. 21/8, литера А
352 1168 ул. Союза Печатников, д. 21/8, литера Б
353 1169 ул. Декабристов, д. 36/1, литера А (часть здания)
354 1169 ул. Декабристов, д. 40, литера А
355 1169 Лермонтовский пр., д. 4, литера А
356 1169 ул. Союза Печатников, д. 3, литера А
357 1169 ул. Союза Печатников, д. 7, литера А
358 1171 ул. Декабристов, д. 29, литера Г
359 1171 наб. Крюкова кан., д. 3, литера А
360 1177 Конногвардейский пер., д. 6, литера А
361 1177 ул. Якубовича, д. 24, литера А
362 1178 Б. Морская ул., д. 61, литера А (часть здания)
363 1178 Б. Морская ул., д. 61, литера Б
364 1178 Почтамтская ул., д. 20, литера А
365 1179 Почтамтская ул., д. 4, литера А (лицевой фасад)
366 1180 Б. Морская ул., д. 29, литера А
367 1180 Б. Морская ул., д. 39, литера Б
368 1180 М. Морская ул., д. 18, строение 1
369 1232 пер. Гривцова, д. 14-16, литера А (часть здания)
370 1232 Казанская ул., д. 26/27, литера А
371 1233 Гражданская ул., д. 2-4, литера А
372 1234 наб. кан. Грибоедова, д. 65-67, литера А
373 1234 Казначейская ул., д. 2/63, литера А (часть здания)
374 1234 Казначейская ул., д. 4/16, литера А
375 1236 Гражданская ул., д. 20-22, литера А
376 1236 Гражданская ул., д. 24, литера А
377 1238 Б. Подьяческая ул., д. 4, литера А
378 1238 Б. Подьяческая ул., д. 4, литера Б
379 1239 Б. Подьяческая ул., д. 11, литера А
380 1239 Б. Подьяческая ул., д. 13, литера А
381 1239 наб. кан. Грибоедова, д. 86, литера А
382 1239 Ср. Подьяческая ул., д. 14, литера А
383 1240 наб. кан. Грибоедова, д. 94, литера А
384 1240 Ср. Подьяческая ул., д. 3, литера А
385 1242В Никольская пл., д. 1а, литера А
386 1242В Никольская пл., д. 1б, литера Б
387 1244 наб. кан. Грибоедова, д. 133а, литера А
388 1244 наб. Крюкова кан., д. 17, литера А
389 1245 наб. кан. Грибоедова, д. 130, литера А
390 1245 наб. кан. Грибоедова, д. 134, литера А
391 1245 наб. кан. Грибоедова, д. 136, литера А
392 1245 наб. кан. Грибоедова, д. 138, литера А
393 1245 Канонерская ул., д. 11/8, литера А
394 1245 Канонерская ул., д. 5, литера А
395 1245 Канонерская ул., д. 7-9, литера А
396 1245 Лермонтовский пр., д. 15, литера А
397 1247 Лермонтовский пр., д. 7/12, литера А (часть здания)
398 1247 Лермонтовский пр., д. 7а, литера А
399 1247 Лермонтовский пр., д. 9/55, литера А
400 1247 пр. Римского-Корсакова, д. 57, литера А
401 1247 пр. Римского-Корсакова, д. 59, литера А
402 1247 пр. Римского-Корсакова, д. 61, литера А
403 1247 пр. Римского-Корсакова, д. 63, литера А
404 1247 пр. Римского-Корсакова, д. 63, литера Б
405 1247 ул. Союза Печатников, д. 16, литера А
406 1248 наб. Крюкова кан., д. 7/2, литера А
407 1248 наб. Крюкова кан., д. 7/2, литера Б
408 1248 ул. Союза Печатников, д. 6, литера А
409 1248 пр. Римского-Корсакова, д. 45, литера А
410 1250 наб. кан. Грибоедова, д. 111, литера А
411 1250 наб. кан. Грибоедова, д. 113, литера А
412 1250 наб. кан. Грибоедова, д. 115, литера А (часть здания)
413 1250 пр. Римского-Корсакова, д. 29, литера А
414 1250 Театральная пл., д. 12, литера А
415 1251 М. Подьяческая ул., д. 3, литера А
416 1252 Театральная пл., д. 5, литера А
417 1252А наб. кан. Грибоедова, д. 99, литера А
418 1252А наб. кан. Грибоедова, д. 103, литера А
419 1252А наб. кан. Грибоедова, д. 107/6, литера А
420 1252А ул. Декабристов, д. 28, литера Б
421 1252А ул. Декабристов, д. 30, литера А
422 1253 наб. р. Мойки, д. 96, литера А (часть здания)
423 1253 наб. р. Мойки, д. 96, литера В (часть здания)
424 1253 пер. Пирогова, д. 16, литера А
425 1253 пер. Пирогова, д. 18, литера А
426 1253 пер. Пирогова, д. 19, литера А
427 1253 пер. Пирогова, д. 21, литера А
428 1253 Прачечный пер., д. 3, литера А
429 1254 пер. Пирогова, д. 13, литера А
430 1254 пер. Пирогова, д. 17, литера А
431 1255 Вознесенский пр., д. 3-5, литера А
432 1255 Вознесенский пр., д. 7, литера А
433 1255 наб. р. Мойки, д. 78, литера А
434 1255 пер. Пирогова, д. 5, литера А (часть здания)
435 1255 пер. Пирогова, д. 7, литера А
436 1255 Фонарный пер., д. 4, литера А
437 1291 Гороховая ул., д. 17/56, литера А
438 1291 Гороховая ул., д. 21, литера А
439 1291 пер. Гривцова, д. 6, литера А
440 1291 наб. р. Мойки, д. 60, литера А
441 1292 пер. Антоненко, д. 2, строение 1 (лицевые фасады)
442 1292 пер. Антоненко, д. 4, литера А
443 1292 пер. Антоненко, д. 8, литера А
444 1292 пер. Антоненко, д. 10, литера А (часть здания)
445 1292 пер. Гривцова, д. 3, литера А (часть здания)
446 1292 пер. Гривцова, д. 5, литера А (часть здания)
447 1292 пер. Гривцова, д. 5, литера Б
448 1292 пер. Гривцова, д. 5, литера В
449 1293 Гражданская ул., д. 11, литера А
450 1293 Гражданская ул., д. 5, литера А
451 1293 Казанская ул., д. 36, литера Б
452 1294 Гражданская ул., д. 23, литера А
453 1294 Гражданская ул., д. 25, литера А
454 1294 Казанская ул., д. 48, литера А
455 1294 Казанская ул., д. 52/24, литера А
456 1295 Казанская ул., д. 54, литера А
457 1295 Казанская ул., д. 56, литера А
458 1296 наб. кан. Грибоедова, д. 87, литера А
459 1296 наб. кан. Грибоедова, д. 89, литера А
460 1296 наб. кан. Грибоедова, д. 95, литера А
461 1296 наб. кан. Грибоедова, д. 97, литера А (часть здания)
462 1296 ул. Декабристов, д. 14/7, литера А
463 1297 пер. Пирогова, д. 10, литера А
464 1297 пер. Пирогова, д. 12, литера А
465 1299 пер. Антоненко, д. 3, литера А
466 1299 Вознесенский пр., д. 16, литера А
467 1299 Вознесенский пр., д. 20, литера А
468 1299 Казанская ул., д. 35, литера А
469 1299 Казанская ул., д. 41, литера А
470 1300 Казанская ул., д. 45, литера А
471 1301 ул. Декабристов, д. 1-3, литера А
472 1301 ул. Декабристов, д. 5, литера А
473 1301 пер. Пирогова, д. 4, литера А
474 1301 пер. Пирогова, д. 6, литера А
475 1607 ул. Степана Разина, д. 15, литера А
476 1607 ул. Степана Разина, д. 7/78, литера А (часть здания)
477 1607 ул. Степана Разина, д. 9, литера А
478 1607 ул. Степана Разина, д. 9, литера В
479 1607 ул. Степана Разина, д. 9, литера Д
480 1609 Рижский пр., д. 43, литера А
481 1609 Рижский пр., д. 43, литера Ж
482 1609 наб. р. Фонтанки, д. 168, литера Б
483 1609 наб. р. Фонтанки, д. 168, литера В
484 1609 наб. р. Фонтанки, д. 170, литера Д
485 1609 наб. р. Фонтанки, д. 172, корп. 2, литера А
486 1609 наб. р. Фонтанки, д. 203, литера ДК
487 1610 Рижский пр., д. 35, литера А
488 1610 Рижский пр., д. 37, литера В
489 1610 Рижский пр., д. 37, литера З
490 1610 Рижский пр., д. 39, литера А
491 1610 Старо-Петергофский пр., д. 3-5, литера Б
492 1610 Старо-Петергофский пр., д. 9а, литера Ж
493 1610 Старо-Петергофский пр., д. 9а, литера О
494 1610 Старо-Петергофский пр., д. 9б, литера А
495 1611 Рижский пр., д. 23, литера А
496 1611 Рижский пр., д. 25, литера А
497 1611 Рижский пр., д. 31, литера А
498 1611 Старо-Петергофский пр., д. 2, литера А (часть здания)
499 1612 Дерптский пер., д. 3, литера А
500 1612 Рижский пр., д. 19, литера А
501 1612 наб. р. Фонтанки, д. 148, литера А
502 1612 наб. р. Фонтанки, д. 150, литера А
503 1612 наб. р. Фонтанки, д. 154, корп. 2, литера Е
504 1613 Рижский пр., д. 3, литера Б
505 1614 Измайловский пр., д. 3, литера А
506 1614 Измайловский пр., д. 5, литера А (часть здания)
507 1614 Измайловский пр., д. 7, литера А (часть здания)
508 1614 Троицкий пр., д. 3, литера А
509 1614 Троицкий пр., д. 7, литера А
510 1614 наб. р. Фонтанки, д. 130а, литера Г
511 1614 наб. р. Фонтанки, д. 132, литера А (часть здания)
512 1614 наб. р. Фонтанки, д. 132, литера В
513 1614 наб. р. Фонтанки, д. 132, литера Г
514 1614 наб. р. Фонтанки, д. 132, литера Е
515 1614 наб. р. Фонтанки, д. 132, литера К
516 1614 наб. р. Фонтанки, д. 134, литера А
517 1614 наб. р. Фонтанки, д. 136, литера А
518 1616 1-я Красноармейская ул., д. 11, литера А (часть здания)
519 1616Б 1-я Красноармейская ул., д. 1/21, литера А
520 1616Б 1-я Красноармейская ул., д. 1/21, литера Д
521 1616Б 1-я Красноармейская ул., д. 3-5-7-9, литера Б
522 1616Б Державинский пер., д. 5, литера Б
523 1616Б Московский пр., д. 19, литера Д
524 1616Б наб. р. Фонтанки, д. 112, корп. 2, литера А
525 1616Б наб. р. Фонтанки, д. 112, литера А
526 1616Б наб. р. Фонтанки, д. 116, литера А (часть здания)
527 1617 Московский пр., д. 20, литера А
528 1617 Московский пр., д. 22, литера А
529 1617 Московский пр., д. 24-26/49, литера Г
530 1617 Московский пр., д. 24-26/49, литера Д
531 1618 Б. Казачий пер., д. 11, литера А
532 1618 Введенский кан., д. 4, строение 1
533 1618 Лазаретный пер., д. 4, литера А
534 1618 наб. р. Фонтанки, д. 102, литера А (часть здания)
535 1618 наб. р. Фонтанки, д. 98, литера А
536 1620 Б. Казачий пер., д. 10, литера А
537 1620 Б. Казачий пер., д. 8, литера А
538 1620 Гороховая ул., д. 73, литера А
539 1620 Гороховая ул., д. 77, литера А
540 1620 Загородный пр., д. 41-43, литера А
541 1621 Б. Казачий пер., д. 3, литера А
542 1621 Б. Казачий пер., д. 5, литера А
543 1622 Бородинская ул., д. 3, литера А
544 1622 Гороховая ул., д. 52, литера А
545 1622 Гороховая ул., д. 54, литера А
546 1622 Гороховая ул., д. 56, литера А
547 1622 Гороховая ул., д. 62, литера А
548 1622 Гороховая ул., д. 68, литера А
549 1622 Загородный пр., д. 35, литера А (часть здания)
550 1622 Загородный пр., д. 37/70, литера А (часть здания)
551 1622 наб. р. Фонтанки, д. 90, корп. 5, литера Д
552 1627 Подъездной пер., д. 10, литера А
553 1627 Подъездной пер., д. 6, литера А
554 1627 Подъездной пер., д. 8, литера А
555 1630 Можайская ул., д. 14, литера А
556 1630 Можайская ул., д. 16, литера А
557 1630 Можайская ул., д. 2, литера А
558 1630 Можайская ул., д. 22, литера А
559 1630 Можайская ул., д. 8, литера Б
560 1630 Рузовская ул., д. 11, литера А
561 1630 Рузовская ул., д. 13, литера А
562 1630 Рузовская ул., д. 15, литера А
563 1630 Рузовская ул., д. 3, литера А
564 1630 Рузовская ул., д. 5, литера А
565 1631 Верейская ул., д. 12, литера А
566 1631 Верейская ул., д. 14, литера А
567 1631 Верейская ул., д. 16, литера А
568 1631 Верейская ул., д. 18, литера А
569 1631 Верейская ул., д. 2/60, литера Б
570 1631 Верейская ул., д. 6, литера А
571 1631 Верейская ул., д. 8, литера А
572 1631 Можайская ул., д. 11, литера А
573 1631 Можайская ул., д. 13, литера А
574 1631 Можайская ул., д. 17, литера А
575 1631 Можайская ул., д. 3-5, литера А
576 1631 Можайская ул., д. 7, литера А
