3128 1018 Миллионная ул., д. 15, литера А
3202 1035 Дегтярный пер., д. 14/5, литера А
3203 1035 Заячий пер., д. 3, литера А
3204 1035 ул. Моисеенко, д. 2а, литера А
3205 1035 ул. Моисеенко, д. 4, литера А
3206 1035 ул. Моисеенко, д. 4, литера Б
3207 1035 ул. Моисеенко, д. 6, литера А
3208 1035 Суворовский пр., д. 33, литера А
3209 1035 Суворовский пр., д. 37, литера А
3210 1035 Суворовский пр., д. 39, литера А
3211 1035 Суворовский пр., д. 43-45, литера А
3212 1035 Суворовский пр., д. 47, литера А
3213 1035 Суворовский пр., д. 47, литера Б
3214 1035 Суворовский пр., д. 47, литера В
3215 1036 9-я Советская ул., д. 4-6, литера Б
3216 1036 Госпитальная ул., д. 4, литера А
3217 1036 Госпитальная ул., д. 4, литера Б
3218 1036 Фуражный пер., д. 4, литера А
3219 1038 Виленский пер., д. 19, литера А
3220 1039 ул. Некрасова, д. 48, литера А
3221 1039 ул. Некрасова, д. 50, литера А
3222 1039 ул. Некрасова, д. 52, литера Б
3223 1040 ул. Некрасова, д. 39, литера А
3224 1040 ул. Некрасова, д. 41, литера А
3225 1040 ул. Радищева, д. 21, литера А
3226 1041 Ковенский пер., д. 26, литера А
3227 1041 Ковенский пер., д. 28, литера А
3228 1041 Ковенский пер., д. 30/7, литера А
3229 1041 Лиговский пр., д. 3/9, литера А
3230 1041 ул. Радищева, д. 17-19, литера А
3231 1042 ул. Жуковского, д. 36, корп. 1, литера А
3232 1042 ул. Жуковского, д. 36, корп. 2, литера Б
3233 1042 ул. Жуковского, д. 38, литера А
3234 1042 Ковенский пер., д. 25, литера А
3235 1042 Ковенский пер., д. 29, литера А
3236 1042 Лиговский пр., д. 9/31, литера А
3237 1042 Лиговский пр., д. 11, литера А
3238 1042 Лиговский пр., д. 13-15, литера А
3239 1042 Лиговский пр., д. 17, литера А
3240 1042 ул. Радищева, д. 3, литера А
3241 1042 ул. Радищева, д. 5-7, литера А
3242 1042 ул. Радищева, д. 5-7, литера В
3243 1042 ул. Радищева, д. 9, литера А
3244 1043 ул. Восстания, д. 15, литера А
3245 1043 ул. Восстания, д. 17, литера А
3246 1043 ул. Жуковского, д. 59-61, литера А (часть здания)
3247 1043 ул. Жуковского, д. 59-61, литера Б
3248 1043 Лиговский пр., д. 23, литера А
3249 1043 пер. Ульяны Громовой, д. 6, литера А
3250 1044 ул. Восстания, д. 3-5, литера А (часть здания)
3251 1044 ул. Восстания, д. 7, литера А
3252 1044 ул. Восстания, д. 9, литера А
3253 1044 ул. Восстания, д. 11, литера А
3254 1044 Лиговский пр., д. 27/7, литера А
3255 1044 Лиговский пр., д. 29, литера А
3256 1044 Лиговский пр., д. 31, литера А
3257 1044 Лиговский пр., д. 37, литера А
3258 1044 пер. Ульяны Громовой, д. 3, литера А
3259 1044 пер. Ульяны Громовой, д. 5, литера А
3260 1045 Лиговский пр., д. 49, литера А (часть здания)
3261 1045 Лиговский пр., д. 51, литера А
3262 1045 Пушкинская ул., д. 4, литера А (часть здания)
3263 1046 Кузнечный пер., д. 20, литера А
3264 1046 Лиговский пр., д. 57-59, литера А
3265 1046 Лиговский пр., д. 57-59, литера Э
3266 1047 Коломенская ул., д. 4, литера А
3267 1047 Коломенская ул., д. 8, литера А
3268 1047 Коломенская ул., д. 10, литера А (часть здания)
3269 1047 Коломенская ул., д. 14, литера Б (часть здания)
3270 1047 Кузнечный пер., д. 19-21, литера А
3271 1047 Кузнечный пер., д. 19-21, литера П
3272 1047 Лиговский пр., д. 71, литера А
3273 1047 Лиговский пр., д. 75-77, литера А
3274 1047 Лиговский пр., д. 75-77, литера Б
3275 1047 Лиговский пр., д. 75-77, литера Ж
3276 1047 Лиговский пр., д. 79, литера А
3277 1047 Лиговский пр., д. 81, литера А
3278 1047 Лиговский пр., д. 83, литера А
3279 1047 Лиговский пр., д. 85, литера А
3280 1047 Лиговский пр., д. 89/20, литера А
3281 1048 Коломенская ул., д. 22, литера А
3282 1048 Коломенская ул., д. 28, литера А
3283 1048 Коломенская ул., д. 30, литера А
3284 1048 Коломенская ул., д. 32, литера А
3285 1048 Лиговский пр., д. 93, литера А
3286 1048 Лиговский пр., д. 95, литера А
3287 1048 Лиговский пр., д. 97, литера А
3288 1048 Лиговский пр., д. 99, литера А
3289 1048 Лиговский пр., д. 101, литера А
3290 1048 Разъезжая ул., д. 42/34, литера А
3291 1048 Разъезжая ул., д. 44, литера А
3292 1048 Разъезжая ул., д. 46, литера Б
3293 1048 Свечной пер., д. 23/20, литера А
3294 1049 Коломенская ул., д. 23, литера А
3295 1049 Коломенская ул., д. 23, литера Б
3296 1049 Коломенская ул., д. 25, литера А
3297 1049 Коломенская ул., д. 27, литера А
3298 1049 Коломенская ул., д. 31, литера А
3299 1049 Коломенская ул., д. 33/40, литера А (часть здания)
3300 1049 ул. Марата, д. 54/34, литера А
3301 1049 Свечной пер., д. 15/48, литера А
3302 1050 ул. Достоевского, д. 24/9, литера А
3303 1050 ул. Достоевского, д. 26, литера А
3304 1050 ул. Достоевского, д. 28, литера В
3305 1050 ул. Марата, д. 47-49, литера А
3306 1050 Разъезжая ул., д. 26-28, литера А
3307 1050 Разъезжая ул., д. 26-28, литера Б
3308 1051 Б. Московская ул., д. 14/1, литера А
3309 1051 Б. Московская ул., д. 16, литера А
3310 1051 Б. Московская ул., д. 18, литера А
3311 1051 Свечной пер., д. 3, литера А
3312 1051 Свечной пер., д. 5, литера А
3313 1052 Б. Московская ул., д. 10/1-3, литера А
3314 1052 ул. Достоевского, д. 9, литера А
3315 1052 М. Московская ул., д. 5, литера А
3316 1052 Свечной пер., д. 2/12, литера А
3317 1052 Свечной пер., д. 4, литера А
3318 1052 Свечной пер., д. 6, литера А
3319 1053 Б. Московская ул., д. 5, литера А
3320 1053 Б. Московская ул., д. 11, литера А
3321 1053 Б. Московская ул., д. 13, литера А
3322 1053 Загородный пр., д. 6, литера А
3323 1053 Загородный пр., д. 8, литера А
3324 1053 Загородный пр., д. 18/2, литера А (часть здания)
3325 1053 Разъезжая ул., д. 4, литера А
3326 1053 Разъезжая ул., д. 6, литера А
3327 1053 Разъезжая ул., д. 8, литера А
3328 1053 Разъезжая ул., д. 10/15, литера А
3329 1054 Загородный пр., д. 5, литера А
3330 1054 Щербаков пер., д. 17/3, строение 1
3331 1055 ул. Ломоносова, д. 12/66, литера А
3332 1055 ул. Ломоносова, д. 22, литера А
3333 1055 ул. Ломоносова, д. 24, литера А
3334 1055 ул. Ломоносова, д. 26, литера А
3335 1055 ул. Рубинштейна, д. 21, литера А
3336 1055 Щербаков пер., д. 1-3, литера А
3337 1055 Щербаков пер., д. 7, литера А
3338 1056Г наб. р. Фонтанки, д. 67-69, литера А
3339 1056К Апраксин пер., д. 10-12, литера А
3340 1057 Апраксин пер., д. 5, литера А
3341 1057 Апраксин пер., д. 7, литера А
3342 1057 Апраксин пер., д. 9, литера А
3343 1057 Апраксин пер., д. 15, литера А
3344 1057 Апраксин пер., д. 17, литера А
3345 1057 Гороховая ул., д. 36, литера А
3346 1057 Гороховая ул., д. 42, литера А
3347 1057 Гороховая ул., д. 44, литера А
3348 1057 наб. р. Фонтанки, д. 75, литера А
3349 1095 М. Морская ул., д. 5, литера А
3350 1095 М. Морская ул., д. 7, литера А
3351 1096 Дворцовая пл., д. 10, литера А (часть здания)
3352 1097 Б. Морская ул., д. 4, литера А (лицевые фасады)
3353 1097 Б. Морская ул., д. 10, литера А
3354 1097 Б. Морская ул., д. 10, литера Б
3355 1098 Дворцовая пл., д. 4, литера А (часть здания)
3356 1098 наб. р. Мойки, д. 37, литера А
3357 1099 Миллионная ул., д. 30, литера А
3358 1100 Аптекарский пер., д. 3, литера А
3359 1100 Миллионная ул., д. 4/1, литера Б
3360 1100 Миллионная ул., д. 6, литера А (часть здания)
3361 1100 Миллионная ул., д. 8, литера А
3362 1100 Миллионная ул., д. 12, литера А
3363 1100 Миллионная ул., д. 14, литера А (часть здания)
3364 1100 Миллионная ул., д. 16, литера Б
3365 1100 Миллионная ул., д. 18, литера А
3366 1100 наб. р. Мойки, д. 7, литера А
3367 1100 наб. р. Мойки, д. 11, литера А
3368 1100 наб. р. Мойки, д. 15, литера А
3369 1105 Гангутская ул., д. 4, литера А (часть здания)
3370 1105 Гангутская ул., д. 6, литера А
3371 1105 Гангутская ул., д. 8, литера А (лицевой фасад)
3372 1105 ул. Оружейника Фёдорова, д. 5, литера А
3373 1105 ул. Оружейника Фёдорова, д. 7, литера А
3374 1105 Соляной пер., д. 3, литера А
3375 1105 Соляной пер., д. 5, литера А
3376 1105 Соляной пер., д. 7, литера А
3377 1106 ул. Чайковского, д. 1, литера А
3378 1107 ул. Чайковского, д. 3, литера А
3379 1108 Гагаринская ул., д. 6/1, литера А
3380 1108 ул. Чайковского, д. 6, литера А
3381 1108 ул. Чайковского, д. 8, литера А
3382 1108 ул. Чайковского, д. 12, литера А
3383 1108 Шпалерная ул., д. 3, литера А
3384 1108 Шпалерная ул., д. 5, литера А (часть здания)
3385 1108 Шпалерная ул., д. 13, литера А
3386 1109 Захарьевская ул., д. 6, литера А
3387 1109 Захарьевская ул., д. 10, литера А
3388 1109 Захарьевская ул., д. 12, литера А
3389 1109 Литейный пр., д. 4, литера Б
3390 1109 Литейный пр., д. 4, литера В
3391 1109 Шпалерная ул., д. 33, литера А
3392 1110 Захарьевская ул., д. 22, литера А (часть здания) (лицевые корпуса)
3393 1110 Шпалерная ул., д. 39, литера Б
3394 1111А Таврическая ул., д. 45, литера А
3395 1111А Таврическая ул., д. 45, литера В
3396 1111А Таврический пер., д. 5, литера А
3397 1112А Ставропольская ул., д. 10, литера А
3398 1114А Ставропольская ул., д. 1, литера А
3399 1114А Тверская ул., д. 18, литера А
3400 1114А Тверская ул., д. 20, литера А
3401 1114А Шпалерная ул., д. 53, литера А
3402 1115 Суворовский пр., д. 62, литера А
3403 1115 Тверская ул., д. 23-25, литера А
3404 1115 Тверская ул., д. 27-29, литера А
3405 1116А Суворовский пр., д. 65, литера А
3406 1116А Суворовский пр., д. 65, литера Ч
3407 1116А Ярославская ул., д. 4, литера А
3408 1117 ул. Бонч-Бруевича, д. 1, литера Б
3409 1117 ул. Бонч-Бруевича, д. 3, литера А
3410 1117 ул. Бонч-Бруевича, д. 5/10, литера А
3411 1117 Тульская ул., д. 8, литера А
3412 1117 Ярославская ул., д. 15, литера А
3413 1117А Костромская ул., д. 3, литера А
3414 1117А Костромская ул., д. 7, литера А
3415 1117Б Новгородская ул., д. 26, литера А
3416 1117Б Новгородская ул., д. 28/11, литера А
3417 1117Б Тульская ул., д. 7, литера А
3418 1117Б Тульская ул., д. 9, литера А
3419 1119 Дегтярный пер., д. 26, строение 1 (лицевые фасады)
3420 1119А Суворовский пр., д. 63, литера В
3421 1119А Суворовский пр., д. 63, литера Ф
3422 1120 Дегтярный пер., д. 20, литера Б
3423 1120 Дегтярный пер., д. 22, литера А
3424 1120 Дегтярный пер., д. 24, литера А
3425 1120 Заячий пер., д. 4, корп. 1, литера А
3426 1120 Кирочная ул., д. 55, литера А
3427 1120 Кирочная ул., д. 55, литера В
3428 1120 Суворовский пр., д. 53, литера А
3429 1120 Суворовский пр., д. 55, литера А
3430 1120 Суворовский пр., д. 57, литера А
3431 1120 Суворовский пр., д. 59, литера А
3432 1120 Суворовский пр., д. 59, литера Ж
3433 1120 Суворовский пр., д. 61, литера А
3434 1121 Кирочная ул., д. 53/46, литера А
3435 1121 Кирочная ул., д. 53/46, литера Б
3436 1121 Суворовский пр., д. 40, литера А
3437 1121 Суворовский пр., д. 42, литера А
3438 1121 Суворовский пр., д. 44, литера А
3439 1122 Парадная ул., д. 4, литера А
3440 1122 Парадная ул., д. 4, литера В (часть здания)
3441 1122 Суворовский пр., д. 32а, литера Б
3442 1122 Таврическая ул., д. 2, литера А
3443 1122 Таврическая ул., д. 2а, литера А
3444 1122 Фуражный пер., д. 3, литера К
3445 1123 Басков пер., д. 32, литера Б
3446 1123 Басков пер., д. 34, литера А
3447 1123 Басков пер., д. 36, литера А
3448 1124 Виленский пер., д. 7, литера А
3449 1124 Виленский пер., д. 9, литера А
3450 1124 ул. Восстания, д. 37-39, литера А
3451 1125 Басков пер., д. 35, литера А
3452 1125 ул. Некрасова, д. 44, литера А
3453 1126 ул. Некрасова, д. 29, литера А
3454 1126 ул. Некрасова, д. 33, литера А
3455 1126 Озерной пер., д. 2-4, литера А
3456 1126 Озерной пер., д. 6, литера А
3457 1126 Озерной пер., д. 8, литера А
3458 1127 Ковенский пер., д. 20, литера А
3459 1127 Ковенский пер., д. 22-24, литера А
3460 1127 Озерной пер., д. 3, литера А
3461 1127 Озерной пер., д. 5, литера А
3462 1128 Солдатский пер., д. 4, литера А
3463 1128 Солдатский пер., д. 6, литера А (часть здания)
3464 1128 Солдатский пер., д. 8, литера А
3465 1129 ул. Жуковского, д. 30, литера А
3466 1129 ул. Жуковского, д. 32, литера А
3467 1129 ул. Жуковского, д. 34, литера А
3468 1130 ул. Восстания, д. 4, литера А
3469 1130 ул. Жуковского, д. 29, литера А
3470 1130 ул. Жуковского, д. 33, литера А
3471 1130 ул. Жуковского, д. 35, литера А
3472 1130 ул. Жуковского, д. 37, литера А
3473 1130 ул. Жуковского, д. 47, литера А (часть здания)
3474 1130 ул. Жуковского, д. 49, литера А
3475 1130 ул. Маяковского, д. 7/27, литера А
3476 1130 Невский пр., д. 98, литера А
3477 1130 Невский пр., д. 102, литера А
3478 1130 Невский пр., д. 104, литера А
3479 1130 Невский пр., д. 106, литера А
3480 1130 Невский пр., д. 110, литера А
3481 1130 Невский пр., д. 112, литера А
3482 1130 Невский пр., д. 114-116, литера А (лицевые фасады)
3483 1131 ул. Марата, д. 4, литера А
3484 1131 ул. Марата, д. 6, литера А (лицевой корпус)
3485 1131 ул. Марата, д. 10, литера А
3486 1131 ул. Марата, д. 12, литера А (часть здания)
3487 1131 ул. Марата, д. 16, литера А
3488 1131 ул. Марата, д. 18, литера А
3489 1131 ул. Марата, д. 20, литера А
3490 1131 Пушкинская ул., д. 15, литера А (часть здания)
3491 1131 Пушкинская ул., д. 19, литера А (часть здания)
3492 1132 Коломенская ул., д. 3, литера А
3493 1132 Коломенская ул., д. 5, литера А
3494 1132 Коломенская ул., д. 5, литера Е
3495 1132 Коломенская ул., д. 9, литера А
3496 1132 Коломенская ул., д. 11, литера А
3497 1132 Коломенская ул., д. 13, литера А (часть здания)
3498 1132 Коломенская ул., д. 15-17, литера А (часть здания)
3499 1132 ул. Марата, д. 26/11, литера А
3500 1132 ул. Марата, д. 34, литера А
3501 1132 ул. Марата, д. 36-38, литера А
3502 1132 ул. Марата, д. 40, литера А
3503 1132 ул. Марата, д. 42, литера А
3504 1132 ул. Марата, д. 44, литера А
3505 1132 ул. Марата, д. 46, литера А
3506 1132 Свечной пер., д. 16/19, литера А
3507 1133 ул. Достоевского, д. 4, литера А
3508 1133 ул. Достоевского, д. 6, литера А
3509 1133 ул. Достоевского, д. 8, литера А
3510 1133 ул. Достоевского, д. 10, литера А
3511 1133 ул. Достоевского, д. 12, литера А
3512 1133 ул. Достоевского, д. 14, литера А
3513 1133 ул. Достоевского, д. 16, литера А
3514 1133 ул. Достоевского, д. 18, литера А
3515 1133 ул. Марата, д. 33, литера А
3516 1133 ул. Марата, д. 35, литера А
3517 1133 ул. Марата, д. 39, литера А
3518 1133 ул. Марата, д. 41, литера Б
3519 1133 ул. Марата, д. 45/12, литера А (часть здания)
3520 1134 Б. Московская ул., д. 4, литера А
3521 1134 ул. Достоевского, д. 1, литера А
3522 1134 ул. Достоевского, д. 3, литера А
3523 1134 ул. Достоевского, д. 5, литера А
3524 1134 М. Московская ул., д. 6/7, литера А
3525 1135 Колокольная ул., д. 1, литера А
3526 1135 Колокольная ул., д. 3, литера А
3527 1135 Колокольная ул., д. 7, литера А
3528 1135 Колокольная ул., д. 9, литера А
3529 1135 Колокольная ул., д. 13, литера А (часть здания)
3530 1135 Кузнечный пер., д. 6, литера А
3531 1135 Кузнечный пер., д. 8, литера А
3532 1135 Кузнечный пер., д. 10, литера А
3533 1135 ул. Марата, д. 23, литера А (часть здания)
3534 1135 ул. Марата, д. 25, литера А (часть здания)
3535 1135 ул. Марата, д. 25а, литера Б
3536 1136 ул. Рубинштейна, д. 18/5, литера А (часть здания)
3537 1136 ул. Рубинштейна, д. 20, литера А
3538 1136 ул. Рубинштейна, д. 22, литера А
3539 1136 ул. Рубинштейна, д. 26, литера А
3540 1136 ул. Рубинштейна, д. 28, литера Б
3541 1136 ул. Рубинштейна, д. 32, литера А (часть здания)
3542 1137 ул. Рубинштейна, д. 11, литера А
3543 1137 ул. Рубинштейна, д. 13, литера А (часть здания)
3544 1137 ул. Рубинштейна, д. 19/8, литера А
3545 1137 наб. р. Фонтанки, д. 50, литера А (часть здания)
3546 1137 наб. р. Фонтанки, д. 52, литера А
3547 1137 наб. р. Фонтанки, д. 56, литера А (часть здания)
3548 1137 Щербаков пер., д. 2/58, литера А
3549 1138 Невский пр., д. 39, литера М (лицевые фасады)
3550 1138 пл. Островского, д. 2, литера Б (лицевой фасад)
3551 1138 наб. р. Фонтанки, д. 39, литера А (часть здания)
3552 1138 наб. р. Фонтанки, д. 43, литера А (часть здания)
3553 1138 наб. р. Фонтанки, д. 45, литера А
3554 1138 наб. р. Фонтанки, д. 47, литера А (часть здания)
3555 1138 наб. р. Фонтанки, д. 51-53, литера А (часть здания)
3556 1139 пер. Крылова, д. 1, литера А
3557 1139 пер. Крылова, д. 3, литера А
3558 1139 пер. Крылова, д. 5, литера А
3559 1139 пл. Островского, д. 7, литера А (часть здания)
3560 1139 пл. Островского, д. 9, литера А
3561 1139 пл. Островского, д. 9, литера Б
3562 1139 Садовая ул., д. 26, литера Б
3563 1140 наб. кан. Грибоедова, д. 30-32, литера Б (часть здания)
3564 1140 наб. кан. Грибоедова, д. 30-32, литера В
3565 1141 Москательный пер., д. 4, литера В (часть здания)
3566 1143 Садовая ул., д. 25, литера А (часть здания)
3567 1144 Гороховая ул., д. 32, литера А
3568 1181 Б. Морская ул., д. 13, литера А
3569 1181 Б. Морская ул., д. 19, литера А (часть здания)
3570 1181 Б. Морская ул., д. 23/12, литера А
3571 1181 М. Морская ул., д. 4/1, литера А (лицевые фасады)
3572 1182 Б. Морская ул., д. 11, литера А (часть здания)
3573 1184 наб. р. Мойки, д. 10, литера А
3574 1184 наб. р. Мойки, д. 14, литера Б (часть здания)
3575 1184 наб. р. Мойки, д. 18, литера А
3576 1184 наб. р. Мойки, д. 22, литера А (лицевой фасад)
3577 1184 наб. р. Мойки, д. 24, литера А
3578 1184 наб. р. Мойки, д. 26, литера А
3579 1184 наб. р. Мойки, д. 30, литера А (часть здания)
3580 1185А наб. кан. Грибоедова, д. 2а, литера А
3581 1187 Инженерная ул., д. 6, литера А
3582 1189 Моховая ул., д. 31, литера А
3583 1189 Моховая ул., д. 31, литера Б
3584 1189 Моховая ул., д. 37, литера А
3585 1189 Моховая ул., д. 45, литера А (часть здания)
3586 1189 ул. Пестеля, д. 1/12, литера А
3587 1189 ул. Пестеля, д. 3, литера А
3588 1189 ул. Пестеля, д. 17/25, литера А
3589 1189 наб. р. Фонтанки, д. 22, литера А
3590 1189 наб. р. Фонтанки, д. 28, литера А
3591 1189 наб. р. Фонтанки, д. 30, литера А
3592 1190 Гагаринская ул., д. 23, литера В
3593 1190 Соляной пер., д. 12, литера А (часть здания)
3594 1190 Соляной пер., д. 14, литера А
3595 1192 Гагаринская ул., д. 13, литера А
3596 1192 Гагаринская ул., д. 15, литера А
3597 1192 Гагаринская ул., д. 17, литера А
3598 1192 Гангутская ул., д. 14, литера А
3599 1192 Гангутская ул., д. 16, литера А (часть здания)
3600 1192 ул. Оружейника Фёдорова, д. 15, литера А
3601 1192 Соляной пер., д. 4, литера А
3602 1192 Соляной пер., д. 6, литера А
3603 1193 Гагаринская ул., д. 12, литера А
3604 1193 Гагаринская ул., д. 14, литера А (часть здания)
3605 1193 Гагаринская ул., д. 20, литера А
3606 1193 Гагаринская ул., д. 22, литера А
3607 1193 Гагаринская ул., д. 24, литера А
3608 1193 Гагаринская ул., д. 28, литера А
3609 1193 Гагаринская ул., д. 34, литера А
3610 1193 Моховая ул., д. 1/9, литера А
3611 1193 Моховая ул., д. 1/9, литера Д (часть здания)
3612 1193 Моховая ул., д. 9, литера Б
3613 1193 Моховая ул., д. 21-23, литера А
3614 1193 ул. Пестеля, д. 8/36, литера А
3615 1193 ул. Чайковского, д. 5/10, литера А
3616 1194 Литейный пр., д. 5/19, литера А (лицевые фасады)
3617 1194 Литейный пр., д. 11, литера А
3618 1194 Литейный пр., д. 15, литера А
3619 1194 Моховая ул., д. 10, литера А (часть здания)
3620 1194 Моховая ул., д. 12, литера А
3621 1194 Моховая ул., д. 14, литера А (часть здания)
3622 1194 Моховая ул., д. 16, литера А
3623 1194 Моховая ул., д. 18, литера А (часть здания)
3624 1194 Моховая ул., д. 18, литера Ж
3625 1194 Моховая ул., д. 22, литера А (часть здания)
3626 1194 Ул. Пестеля, д. 14, литера А (часть здания)
3627 1195 Кирочная ул., д. 3, литера А
3628 1195 Литейный пр., д. 20, литера А (часть здания)
3629 1195 Литейный пр., д. 22, литера А
3630 1195 Манежный пер., д. 2, литера А
3631 1195 ул. Пестеля, д. 16б, литера Б
3632 1196 Кирочная ул., д. 10, литера А (часть здания)
3633 1196 Кирочная ул., д. 22, литера А (часть здания)
3634 1196 Фурштатская ул., д. 3, литера А
3635 1196 Фурштатская ул., д. 5, литера А
3636 1196 Фурштатская ул., д. 13, литера А
3637 1196 Фурштатская ул., д. 15, литера А
3638 1196 Фурштатская ул., д. 21, литера А
3639 1197 Фурштатская ул., д. 8, литера А
3640 1197 Фурштатская ул., д. 10, литера А
3641 1197 ул. Чайковского, д. 21, литера А
3642 1197 ул. Чайковского, д. 23, литера А
3643 1197 ул. Чайковского, д. 25, литера А (часть здания)
3644 1198 Фурштатская ул., д. 12, литера А
3645 1198 Фурштатская ул., д. 14, литера А
3646 1198 Фурштатская ул., д. 16, литера А
3647 1198 Фурштатская ул., д. 28, литера (часть здания)
3648 1198 Фурштатская ул., д. 30, литера А
3649 1198 Фурштатская ул., д. 32, литера А
3650 1198 Фурштатская ул., д. 34, литера А
3651 1198 Фурштатская ул., д. 36, литера Б
3652 1198 Фурштатская ул., д. 36а, литера А
3653 1198 ул. Чайковского, д. 33-37, литера А (часть здания)
3654 1198 ул. Чайковского, д. 41, литера А
3655 1198 ул. Чайковского, д. 43, литера А
3656 1198 ул. Чайковского, д. 47, литера Ж
3657 1199 Захарьевская ул., д. 1, литера А
3658 1199 Захарьевская ул., д. 3, литера А
3659 1199 Захарьевская ул., д. 11, литера А
3660 1199 Захарьевская ул., д. 13, литера А
3661 1199 Захарьевская ул., д. 15, литера А
3662 1199 Захарьевская ул., д. 25, литера А
3663 1199 ул. Чайковского, д. 16, литера А
3664 1199 ул. Чайковского, д. 18, литера А
3665 1199 ул. Чайковского, д. 20, литера А
3666 1199 ул. Чайковского, д. 20, литера Б (часть здания)
3667 1199 ул. Чайковского, д. 20, литера В
3668 1199 ул. Чайковского, д. 22, литера А
3669 1200 Захарьевская ул., д. 27, литера А
3670 1200 Захарьевская ул., д. 29, литера А
3671 1200 Захарьевская ул., д. 35, литера А
3672 1200 Захарьевская ул., д. 37, литера А (часть здания)
3673 1200 ул. Чайковского, д. 40, литера А (часть здания)
3674 1200 ул. Чайковского, д. 44, литера А
3675 1200 ул. Чайковского, д. 50, литера А
3676 1200 ул. Чайковского, д. 52, литера А
3677 1200 ул. Чайковского, д. 56, литера А
3678 1200 ул. Чайковского, д. 58, литера А
3679 1200 ул. Чайковского, д. 60, литера А
3680 1201 Фурштатская ул., д. 46, литера Б
3681 1201 Фурштатская ул., д. 48, литера А
3682 1201 Фурштатская ул., д. 54, литера А
