2115 3001 Мичуринская ул., д. 1, литера Б
2316 3069 Б. Пушкарская ул., д. 17, литера А
2317 3069 Б. Пушкарская ул., д. 19, литера А
2318 3069 Б. Пушкарская ул., д. 19, литера Б
2319 3069 Б. Пушкарская ул., д. 21, литера А
2320 3069 М. Пушкарская ул., д. 4-6, литера А
2321 3069 Саблинская ул., д. 3, литера А
2322 3070 Саблинская ул., д. 5/21, литера А
2323 3071 ул. Кропоткина, д. 11, литера А
2324 3071 ул. Кропоткина, д. 15, литера А
2325 3071 ул. Кропоткина, д. 15, литера В
2326 3071 ул. Кропоткина, д. 17, литера А
2327 3071 ул. Кропоткина, д. 17, литера В
2328 3071 ул. Кропоткина, д. 5, литера А
2329 3071 ул. Кропоткина, д. 7, литера А
2330 3072 ул. Ленина, д. 10, литера А
2331 3072 ул. Ленина, д. 10, литера В
2332 3073 Б. Пушкарская ул., д. 35, литера А
2333 3074 Б. Монетная ул., д. 4, литера А
2334 3074 Б. Монетная ул., д. 6, литера А
2335 3074 Б. Пушкарская ул., д. 43, литера А
2336 3074 Каменноостровский пр., д. 24, литера А
2337 3075 Б. Монетная ул., д. 16, корп. 1, литера В
2338 3075 Б. Монетная ул., д. 16, корп. 5, литера Е
2339 3075 Б. Монетная ул., д. 24, литера А
2340 3075 Б. Монетная ул., д. 30, литера А
2341 3075 ул. Рентгена, д. 11, литера А
2342 3075 ул. Рентгена, д. 13, литера Б
2343 3075 ул. Рентгена, д. 15/31, литера А
2344 3075 ул. Рентгена, д. 3, литера А
2345 3075 ул. Рентгена, д. 7, литера А (часть здания)
2346 3076 Каменноостровский пр., д. 25/2, литера А
2347 3076 Каменноостровский пр., д. 27, литера А (часть здания)
2348 3076 ул. Льва Толстого, д. 13, литера Б
2349 3076 ул. Льва Толстого, д. 5, литера А
2350 3076 ул. Льва Толстого, д. 7, литера А
2351 3076 ул. Рентгена, д. 6, литера А
2352 3077 ул. Льва Толстого, д. 6-8, литера А
2353 3077 ул. Льва Толстого, д. 6-8, литера АБ
2354 3077 ул. Льва Толстого, д. 6-8, литера Г
2355 3077 ул. Льва Толстого, д. 6-8, литера Д
2356 3077 ул. Льва Толстого, д. 6-8, литера Ф
2357 3077А ул. Льва Толстого, д. 10, литера А
2358 3078 Казарменный пер., д. 1-3, литера А
2359 3078 Казарменный пер., д. 1-3, литера Б
2360 3081 ул. Льва Толстого, д. 4, литера А
2361 3082 Большой пр. П.С., д. 98, литера А
2362 3083 Большой пр. П.С., д. 71, литера А
2363 3083 Каменноостровский пр., д. 34, литера А
2364 3084 Б. Пушкарская ул., д. 54, литера А
2365 3084 Б. Пушкарская ул., д. 56, литера А
2366 3084 Большой пр. П.С., д. 67, литера А
2367 3085 Б. Пушкарская ул., д. 50, литера В
2368 3085 Большой пр. П.С., д. 59, литера А
2369 3086 Большой пр. П.С., д. 53, литера А
2370 3086 ул. Подковырова, д. 4, литера Б
2371 3087 Б. Пушкарская ул., д. 27, литера А
2372 3087 Б. Пушкарская ул., д. 29, литера А
2373 3087 Б. Пушкарская ул., д. 31, литера А
2374 3087 ул. Ленина, д. 12/36, литера А
2375 3087 М. Пушкарская ул., д. 22-24, литера А
2376 3087 М. Пушкарская ул., д. 26, литера А
2377 3087 М. Пушкарская ул., д. 28, литера А
2378 3087 М. Пушкарская ул., д. 30, литера А
2379 3087 М. Пушкарская ул., д. 32, литера В
2380 3087 М. Пушкарская ул., д. 34, литера Б
2381 3088 Б. Пушкарская ул., д. 34, литера А
2382 3088 Б. Пушкарская ул., д. 34, литера В
2383 3088 Большой пр. П.С., д. 41, литера А
2384 3088 Большой пр. П.С., д. 41, литера Б
2385 3088 Большой пр. П.С., д. 43, литера А
2386 3088 Большой пр. П.С., д. 47, литера А
2387 3089 Б. Пушкарская ул., д. 32, литера А
2388 3089 Б. Пушкарская ул., д. 32, литера В
2389 3090 Большой пр. П.С., д. 29а, литера Б
2390 3090 Большой пр. П.С., д. 29/2, литера А
2391 3090 Большой пр. П.С., д. 35, литера А
2392 3090 Большой пр. П.С., д. 35в, литера А
2393 3090 Б. Пушкарская ул., д. 20, литера А
2394 3091 Большой пр. П.С., д. 25/2, литера А
2395 3091 Большой пр. П.С., д. 27/1, литера А
2396 3092 Б. Пушкарская ул., д. 10, литера Б
2397 3092 Б. Пушкарская ул., д. 10, литера Г (часть здания)
2398 3092 Б. Пушкарская ул., д. 10, литера Е (часть здания)
2399 3092 Пионерская ул., д. 1, литера А
2400 3092 Пионерская ул., д. 3/15, литера А
2401 3092 Пионерская ул., д. 3/15, литера Б
2402 3093 Б. Пушкарская ул., д. 2, литера А
2403 3093 Б. Пушкарская ул., д. 4, литера А
2404 3093 Б. Пушкарская ул., д. 6, литера А
2405 3093 Пионерская ул., д. 2, литера А
2406 3095 Большой пр. П.С., д. 10, литера А
2407 3095 Большой пр. П.С., д. 12, литера А
2408 3095 Большой пр. П.С., д. 2/1, литера А
2409 3095 Большой пр. П.С., д. 6-8, литера А
2410 3095 Большой пр. П.С., д. 6-8, литера Б
2411 3095 Малый пр. П.С., д. 1/3, литера А
2412 3095 Малый пр. П.С., д. 3, литера А
2413 3096 ул. Красного Курсанта, д. 3, литера А
2414 3096 ул. Красного Курсанта, д. 5/11, литера А
2415 3096 ул. Красного Курсанта, д. 5/11, литера Д
2416 3096 Малый пр. П.С., д. 13, литера А
2417 3096 Малый пр. П.С., д. 15, литера А
2418 3097 Большой пр. П.С., д. 20/5, литера А
2419 3097 Большой пр. П.С., д. 26/2, литера А
2420 3097 Мончегорская ул., д. 10, литера А
2421 3097 Мончегорская ул., д. 4, литера Б
2422 3097 Мончегорская ул., д. 6, литера А
2423 3097 Мончегорская ул., д. 8, литера А
2424 3097 Мончегорская ул., д. 8, литера Б
2425 3097 Пионерская ул., д. 9/17, литера А
2426 3098 Красносельская ул., д. 12, литера А
2427 3098 Красносельская ул., д. 14, литера А
2428 3098 Красносельская ул., д. 16, литера А
2429 3098 Мончегорская ул., д. 11, литера А
2430 3098 Мончегорская ул., д. 7, литера А
2431 3099 Малый пр. П.С., д. 29-31, литера А
2432 3099 Ропшинская ул., д. 10, литера А
2433 3099 Ропшинская ул., д. 12, литера А
2434 3099 Ропшинская ул., д. 4, литера А
2435 3100 Ропшинская ул., д. 13, литера А
2436 3100 Ропшинская ул., д. 15, литера А
2437 3100 Ропшинская ул., д. 3-5, литера А
2438 3100 Ропшинская ул., д. 3-5, литера Б
2439 3100 Ропшинская ул., д. 11, литера А
2440 3100 Рыбацкая ул., д. 12, литера Б
2441 3100 Рыбацкая ул., д. 4, литера А
2442 3100 Рыбацкая ул., д. 6-8, литера Б
2443 3101 Большой пр. П.С., д. 34-36, литера А
2444 3101 Рыбацкая ул., д. 5, литера А
2445 3102 Ижорская ул., д. 11, литера А
2446 3102 Ижорская ул., д. 13/39, литера А
2447 3102 Ижорская ул., д. 13/39, литера Б
2448 3102 Колпинская ул., д. 10, литера А
2449 3102 Колпинская ул., д. 14/41, литера А
2450 3103 Колпинская ул., д. 5, литера А
2451 3103 Колпинская ул., д. 7, литера А
2452 3103 Стрельнинская ул., д. 10, литера А
2453 3103 Стрельнинская ул., д. 12, литера А
2454 3103 Стрельнинская ул., д. 2, литера В
2455 3104 Стрельнинская ул., д. 5-7, литера А
2456 3104 Стрельнинская ул., д. 11, литера А
2457 3104 Стрельнинская ул., д. 13, литера А
2458 3104 Стрельнинская ул., д. 3, литера А
2459 3105 Большой пр. П.С., д. 46/1, литера А
2460 3105 Малый пр. П.С., д. 47, литера А
2461 3105 Ораниенбаумская ул., д. 13, литера А
2462 3105 Ораниенбаумская ул., д. 3, литера А
2463 3105 Шамшева ул., д. 10, литера А
2464 3105 Шамшева ул., д. 12, литера А
2465 3106 Гатчинская ул., д. 16, литера А
2466 3106 Шамшева ул., д. 15а, литера А
2467 3107 Гатчинская ул., д. 5, литера А
2468 3107 Лахтинская ул., д. 10, литера А
2469 3107 Лахтинская ул., д. 6, литера А
2470 3107 Лахтинская ул., д. 6, литера В
2471 3107 Лахтинская ул., д. 8, литера А
2472 3107 Малый пр. П.С., д. 55, литера В
2473 3107 Малый пр. П.С., д. 55, литера Д
2474 3108 Лахтинская ул., д. 1/60, литера А
2475 3108 Лахтинская ул., д. 7, литера А
2476 3108 ул. Ленина, д. 20, литера А
2477 3108 ул. Ленина, д. 22, литера А
2478 3108 ул. Ленина, д. 24, литера А
2479 3108 ул. Ленина, д. 26, литера А
2480 3108 Малый пр. П.С., д. 57, литера А
2481 3109 ул. Ленина, д. 13, литера А
2482 3109 ул. Ленина, д. 27, литера А
2483 3109 Полозова ул., д. 10, литера А
2484 3109 Полозова ул., д. 12, литера А
2485 3109 Полозова ул., д. 14, литера А
2486 3109 Полозова ул., д. 4, литера А
2487 3109 Полозова ул., д. 6/17, литера А
2488 3109 Полозова ул., д. 8, литера А
2489 3110 ул. Подковырова, д. 10, литера А
2490 3110 ул. Подковырова, д. 14, литера А
2491 3110 ул. Подковырова, д. 8, литера А
2492 3110 Полозова ул., д. 11, литера А
2493 3110 Полозова ул., д. 13/63, литера А
2494 3110 Полозова ул., д. 5, литера А
2495 3110 Полозова ул., д. 7, литера А
2496 3110 Полозова ул., д. 9, литера А
2497 3111 ул. Подковырова, д. 11-13, литера А
2498 3111 ул. Подковырова, д. 11-13, литера Б
2499 3111 ул. Подковырова, д. 15-17, литера А
2500 3111 ул. Подковырова, д. 25, литера А
2501 3111 ул. Подковырова, д. 7, литера А
2502 3111 ул. Подковырова, д. 9, литера А
2503 3111 Подрезова ул., д. 10, литера А
2504 3111 Подрезова ул., д. 12, литера А
2505 3111 Подрезова ул., д. 14/69, литера А
2506 3111 Подрезова ул., д. 4, литера А
2507 3111 Подрезова ул., д. 6, литера А
2508 3112 Бармалеева ул., д. 10, литера А
2509 3112 Бармалеева ул., д. 12, литера А
2510 3112 Подрезова ул., д. 5, литера А
2511 3112 Подрезова ул., д. 7, литера А
2512 3113 Бармалеева ул., д. 15, литера А
2513 3113 Бармалеева ул., д. 17, литера А
2514 3113 Бармалеева ул., д. 9, литера А
2515 3113 Плуталова ул., д. 13, литера А
2516 3113 Плуталова ул., д. 15, литера А
2517 3114 Большой пр. П.С., д. 80, литера А
2518 3114 Большой пр. П.С., д. 82, литера А
2519 3114 Большой пр. П.С., д. 86, литера А
2520 3114 Малый пр. П.С., д. 79-81-83, литера А
2521 3114 Ординарная ул., д. 6, литера А
2522 3114 Плуталова ул., д. 20, литера А
2523 3114 Плуталова ул., д. 22, литера А
2524 3115 Большой пр. П.С., д. 88, литера А
2525 3115 Большой пр. П.С., д. 90, литера А
2526 3115 Большой пр. П.С., д. 92, литера А
2527 3115 Большой пр. П.С., д. 94, литера А
2528 3115 Ординарная ул., д. 11/85, литера А
2529 3115 Ординарная ул., д. 5, литера А
2530 3115 Ординарная ул., д. 7, литера А
2531 3116 Каменноостровский пр., д. 43, литера А
2532 3116 Каменноостровский пр., д. 45, литера А (часть здания)
2533 3116 Каменноостровский пр., д. 45, литера Б
2534 3116 Каменноостровский пр., д. 47, литера А
2535 3117 наб. р. Карповки, д. 15/14
2536 3118 Аптекарский пр., д. 2, литера З
2537 3118 наб. р. Карповки, д. 11, литера А
2538 3118 наб. р. Карповки, д. 5, литера Л
2539 3120 ул. Профессора Попова, д. 1, литера Б
2540 3123 Инструментальная ул., д. 3, литера А
2541 3123 Инструментальная ул., д. 3, литера В
2542 3124 Аптекарский пр., д. 7, литера А
2543 3124 Инструментальная ул., д. 6, литера Б
2544 3124 ул. Профессора Попова, д. 5, литера Р
2545 3124 ул. Профессора Попова, д. 5, литера У
2546 3124 ул. Профессора Попова, д. 5, литера Ф
2547 3124 ул. Профессора Попова, д. 5, литера Щ (часть здания)
2548 3125 Каменноостровский пр., д. 53/22, литера А (часть здания)
2549 3125 наб. р. Карповки, д. 21, литера А
2550 3125 ул. Профессора Попова, д. 12, литера А
2551 3125 ул. Профессора Попова, д. 16б, литера А
2552 3126 Каменноостровский пр., д. 42б, литера А
2553 3126 Каменноостровский пр., д. 44/16, литера Б
2554 3126 наб. р. Карповки, д. 16, литера А
2555 3126 наб. р. Карповки, д. 18, литера Г
2556 3126 наб. р. Карповки, д. 20, литера Д
2557 3126 наб. р. Карповки, д. 22, корп. 2, литера Б
2558 3126 Ординарная ул., д. 19, литера А
2559 3128 ул. Всеволода Вишневского, д. 5, литера А
2560 3128 ул. Всеволода Вишневского, д. 7, литера А
2561 3128А ул. Всеволода Вишневского, д. 1, литера А
2562 3128А ул. Всеволода Вишневского, д. 3, литера А
2563 3128А Ординарная ул., д. 18, литера А
2564 3129 ул. Всеволода Вишневского, д. 2/12, литера А
2565 3129 ул. Всеволода Вишневского, д. 2/12, литера К
2566 3129 ул. Всеволода Вишневского, д. 8, литера Б
2567 3129 Плуталова ул., д. 10, литера А
2568 3130 Бармалеева ул., д. 21, литера А
2569 3130 Бармалеева ул., д. 33, литера А
2570 3130 Малый пр. П.С., д. 82, литера А
2571 3130 Малый пр. П.С., д. 82, литера Б
2572 3131 Бармалеева ул., д. 20, литера А
2573 3131 Бармалеева ул., д. 22, литера Б (часть здания)
2574 3131 Бармалеева ул., д. 24, литера А
2575 3131 Бармалеева ул., д. 26, литера А
2576 3131 Бармалеева ул., д. 28, литера А
2577 3131 Бармалеева ул., д. 32, литера Б
2578 3132 ул. Подковырова, д. 31, литера М
2579 3132 ул. Подковырова, д. 33, литера Е
2580 3132 ул. Подковырова, д. 43а, литера А
2581 3132 Подрезова ул., д. 16, литера Л
2582 3132 Подрезова ул., д. 20, литера А
2583 3133 Малый пр. П.С., д. 72, литера А
2584 3133 ул. Подковырова, д. 20, литера А
2585 3133 ул. Подковырова, д. 22, литера А
2586 3133 Полозова ул., д. 17, литера Б
2587 3133 Полозова ул., д. 19, литера А
2588 3133 Полозова ул., д. 21, литера А
2589 3133 Полозова ул., д. 23, литера А
2590 3134 ул. Ленина, д. 31, литера А
2591 3134 ул. Ленина, д. 39, литера А
2592 3134 ул. Ленина, д. 43, литера А
2593 3135 Лахтинская ул., д. 19, литера А
2594 3135 Лахтинская ул., д. 23, литера А
2595 3135 Лахтинская ул., д. 25а, литера А
2596 3135 Лахтинская ул., д. 25б, литера А
2597 3135 ул. Ленина, д. 34, литера А (часть здания)
2598 3135 ул. Ленина, д. 42, литера А
2599 3135 ул. Ленина, д. 44, литера А
2600 3135 ул. Ленина, д. 46/23, литера А
2601 3135 Малый пр. П.С., д. 64/13, литера А
2602 3137 Гатчинская ул., д. 20, литера А
2603 3137 Чкаловский пр., д. 15, литера А (часть здания)
2604 3139 Колпинская ул., д. 15, литера А
2605 3139 Колпинская ул., д. 17, литера А
2606 3139 Колпинская ул., д. 23-25, литера А
2607 3139 Ораниенбаумская ул., д. 18, литера Б
2608 3139 Ораниенбаумская ул., д. 18, литера В
2609 3140 Б. Зеленина ул., д. 3, литера А
2610 3141 Б. Зеленина ул., д. 4, литера А
2611 3141 Б. Зеленина ул., д. 8, литера А
2612 3141 Ропшинская ул., д. 19/40, литера А
2613 3141 Ропшинская ул., д. 23, литера А
2614 3141 Ропшинская ул., д. 25, литера А
2615 3142 Б. Разночинная ул., д. 3, литера А
2616 3142 Б. Разночинная ул., д. 7, литера А
2617 3142 Б. Разночинная ул., д. 9, литера А
2618 3142 Б. Разночинная ул., д. 9, литера Б
2619 3142 Малый пр. П.С., д. 36-38, литера А
2620 3142 Малый пр. П.С., д. 36-38, литера Б
2621 3142 Малый пр. П.С., д. 36-38, литера В
2622 3142 Ропшинская ул., д. 20, литера А
2623 3142 Ропшинская ул., д. 22, литера А
2624 3142 Ропшинская ул., д. 24, литера А
2625 3142 Ропшинская ул., д. 28, литера А
2626 3142 Ропшинская ул., д. 30, литера А
2627 3142 Чкаловский пр., д. 11/32, литера А
2628 3142 Чкаловский пр., д. 11/32, литера Б
2629 3142 Чкаловский пр., д. 9/13, литера А
2630 3143А Б. Разночинная ул., д. 4, литера А
2631 3143А Б. Разночинная ул., д. 6, литера Б
2632 3143А Б. Разночинная ул., д. 6, литера В
2633 3143А М. Разночинная ул., д. 3, литера А
2634 3143А М. Разночинная ул., д. 7, литера А
2635 3143А М. Разночинная ул., д. 9, литера А
2636 3143Б М. Разночинная ул., д. 6, литера А
2637 3143Б М. Разночинная ул., д. 10, строение 1 (часть здания)
2638 3143Б Пионерская ул., д. 15, литера А
2639 3143Б Пионерская ул., д. 19, литера А
2640 3143Б Пионерская ул., д. 29, литера А
2641 3143Б Пионерская ул., д. 31, литера А
2642 3144 Пионерская ул., д. 11, литера А
2643 3144 Пионерская ул., д. 13, литера А
2644 3147 ул. Красного Курсанта, д. 15/2, литера А
2645 3147 ул. Красного Курсанта, д. 15/2, литера Б
2646 3148 М. Гребецкая ул., д. 3, литера А
2647 3148 М. Гребецкая ул., д. 5, литера В
2648 3148 Пионерская ул., д. 12/24, литера А
2649 3150 ул. Красного Курсанта, д. 10, литера А
2650 3150 ул. Красного Курсанта, д. 10, литера Б
2651 3150 ул. Красного Курсанта, д. 8, литера А
2652 3151 Ждановская наб., д. 11, литера Д
2653 3151 Ждановская наб., д. 11/1, литера Б
2654 3151 Ждановская наб., д. 7, литера А
2655 3151 Малый пр. П.С., д. 12, литера А
2656 3151 Малый пр. П.С., д. 2/5, литера А
2657 3151 Малый пр. П.С., д. 2/5, литера В
2658 3151 Офицерский пер., д. 7, литера А
2659 3151 Офицерский пер., д. 7, литера Б
2660 3152Е Петровский о-в, д. 2, литера А
2661 3153 Ждановская ул., д. 8, литера А (часть здания)
2662 3154 Ждановская ул., д. 1/2, литера А
2663 3154 Ждановская ул., д. 13, литера А (лицевые корпуса)
2664 3154 Ждановская ул., д. 13, литера Д
2665 3154 ул. Красного Курсанта, д. 12, литера А
